Age,Height,Class
 43.23,146.19,-1
 44.80,185.94,-1
 26.36,155.52,-1
 50.51,132.64,+1
 27.22,152.96,-1
 64.42,149.41,+1
 22.59,143.32,-1
 49.49,150.42,+1
 49.35,134.74,+1
 51.16,151.22,-1
 35.24,121.14,+1
 38.41,151.77,-1
 60.16,136.19,-1
 40.86,149.31,-1
 32.20,147.85,-1
 25.59,123.22,+1
 40.05,166.18,-1
 64.02,170.88,-1
 60.06,125.95,+1
 41.97,159.83,-1
 35.57,156.27,-1
 69.06,117.96,+1
 22.69,135.75,+1
 35.43,162.68,-1
 30.24,156.49,-1
 74.01,136.28,+1
 47.69,148.10,-1
 41.93,156.44,-1
 30.77,146.54,-1
 40.40,132.85,+1
 27.37,123.76,+1
 66.17,131.69,+1
 66.97,123.86,+1
 54.00,142.65,+1
 32.35,146.68,-1
 40.17,141.45,-1
 45.92,147.85,-1
 51.44,155.64,-1
 46.15,150.39,-1
 32.40,142.27,-1
 43.15,154.46,-1
 46.00,149.68,+1
 42.74, 94.34,+1
 70.30,115.70,+1
 67.85,122.75,+1
 42.16,152.87,-1
 39.29,149.92,-1
 38.69,146.51,-1
 70.85,126.86,+1
 48.32,142.15,-1
 63.55,137.36,+1
 26.43,147.10,-1
 53.94,149.83,-1
 38.50,156.81,-1
 25.15,142.85,-1
 34.36,154.74,-1
 59.15,117.03,+1
 26.06,164.18,-1
 49.90,173.75,-1
 34.93,115.49,+1
 50.59,149.82,-1
 62.12,132.09,+1
 54.81,163.66,-1
 75.26,144.50,+1
 47.75,126.46,+1
 45.41,138.43,+1
 40.22,129.94,+1
 29.61,135.87,-1
 47.74,159.02,-1
 65.39,151.10,+1
 41.85,147.87,-1
 41.46,166.71,-1
 41.00,158.28,-1
 36.56,141.04,-1
 48.78,135.65,+1
 56.55,144.18,-1
 31.98,154.14,-1
 44.96,136.88,+1
 43.73,167.37,-1
 51.37,132.69,+1
 46.77,131.55,+1
 44.09,162.16,-1
 50.49,138.58,+1
 44.37,152.57,-1
 36.79,159.37,-1
 28.47,152.32,-1
 54.41,124.05,+1
 32.72,161.68,-1
 35.55,139.93,-1
 34.19,152.36,-1
 50.43,126.84,+1
 34.96,151.70,-1
 53.08,165.33,-1
 42.92,153.91,+1
 48.23,148.92,-1
 40.95,167.98,-1
 49.41,120.85,+1
 36.76,156.39,-1
 46.49,123.88,+1
 57.24,143.97,+1
 54.50,118.11,+1
 45.94,152.21,-1
 28.55,158.25,+1
 49.61,124.79,+1
 45.58,134.58,-1
 43.32,147.20,+1
 31.94,159.38,-1
 48.65,160.23,-1
 61.15,109.73,+1
 52.81,140.08,+1
 44.43,155.48,-1
 68.95,127.58,+1
 31.98,177.15,-1
 74.83,148.24,+1
 22.65,157.92,-1
 55.24,131.81,+1
 44.62,134.21,+1
 36.07,166.20,-1
 22.54,152.37,-1
 29.71,150.56,-1
 30.86,158.92,-1
 59.96,120.81,+1
 40.82,131.72,+1
 27.53,154.30,-1
 38.83,143.42,-1
 45.52,150.33,-1
 33.98,130.12,+1
 48.49,152.38,-1
 42.48,147.95,+1
 60.71,123.54,+1
 40.72,157.16,-1
 25.74,154.29,+1
 69.14,130.29,-1
 46.61,174.67,-1
 55.54,127.29,+1
 51.66,171.69,-1
 36.47,149.78,-1
 37.83,152.58,-1
 57.63,146.73,-1
 55.86,168.82,-1
 35.63,122.22,+1
 50.21,140.39,+1
 56.35,127.93,+1
 56.30,130.40,+1
 55.71,106.09,+1
 29.10,117.17,+1
 39.86,152.74,-1
 44.96,154.27,-1
 33.77,155.79,-1
 29.09,145.25,-1
 42.45,152.01,-1
 51.42,164.81,-1
 77.16,119.21,+1
 67.69,146.83,+1
 74.11,144.72,+1
 48.06,160.01,-1
 45.36,161.95,-1
 46.08,126.33,+1
 68.12,134.68,+1
 30.98,156.24,-1
 69.91,126.05,+1
 37.35,127.10,+1
 42.70,133.96,+1
 64.04,151.14,-1
 25.79,135.24,-1
 61.42,137.35,+1
 29.14,155.85,-1
 19.79,149.94,-1
 50.22,125.18,+1
 52.35,165.83,-1
 46.10,156.33,-1
 40.68,137.45,+1
 56.68,142.85,+1
 40.54,156.02,-1
 78.83,133.44,+1
 44.33,141.86,+1
 32.24,129.93,-1
 65.41,164.81,-1
 36.83,164.20,-1
 67.15,135.21,+1
 26.89,160.99,-1
 49.77,133.46,+1
 43.21,166.37,-1
 38.15,153.84,-1
 70.26,144.10,+1
 32.69,152.22,-1
 31.06,140.60,-1
 47.82,174.68,-1
 48.86,149.35,-1
 30.64,179.52,-1
 49.83,143.62,-1
 42.35,168.77,-1
 16.64,163.81,-1
 40.08,169.51,-1
 63.56,140.01,+1
 32.78,149.60,+1
 47.09,158.02,-1
 48.43,151.65,+1
 54.20,124.89,+1
 36.34,129.19,+1
 52.69,113.33,+1
 23.99,157.88,-1
 51.41,116.49,+1
 57.97,137.54,+1
 36.59,147.53,-1
 59.16,126.43,+1
 36.77,147.47,+1
 50.01,162.73,-1
 28.96,131.28,+1
 54.97,136.39,+1
 33.27,154.68,-1
 30.88,160.89,-1
 63.87,106.34,+1
 31.14,138.09,-1
 15.88,155.91,-1
 49.36,146.30,-1
 40.85,169.98,-1
 51.75,142.95,+1
 49.75,150.06,-1
 33.71,145.13,-1
 38.37,144.88,-1
 33.53,158.73,-1
 33.18,128.58,+1
 35.34,164.90,-1
 38.86,138.02,-1
 40.67,163.08,-1
 33.89,140.49,-1
 60.07,119.81,+1
 32.54,148.46,-1
 41.97,122.98,+1
 38.59,158.24,-1
 53.50,150.59,-1
 46.79,144.63,-1
 16.36,152.61,-1
 21.90,149.49,-1
 31.73,139.36,+1
 19.89,155.82,-1
 27.70,158.59,-1
 25.83,150.23,-1
 13.32,144.89,-1
 38.58,155.00,-1
 31.33,161.75,-1
 47.56,107.42,+1
 43.58,118.17,+1
 64.47,139.40,+1
 52.74,148.55,+1
 41.33,141.52,-1
 63.09,177.81,-1
 40.18,161.38,-1
 45.02,167.03,-1
 61.56,168.80,-1
 25.00,154.69,-1
 37.22,148.98,-1
 22.45,116.29,+1
 32.75,108.29,+1
 33.12,132.93,-1
 39.46,158.33,-1
 25.35,153.89,-1
 60.69,119.16,-1
 63.28,122.87,+1
 15.05,166.97,-1
 53.86,128.75,+1
 45.46,128.61,+1
 37.09,157.11,-1
 25.17,143.66,-1
 12.59,130.20,-1
 25.84,145.36,-1
 71.62,129.78,+1
 48.90,164.96,-1
 41.33,152.88,-1
 27.32,170.45,+1
 40.26,141.60,+1
 49.95,122.28,+1
 37.72,158.55,-1
 57.79,151.96,-1
 39.33,154.13,-1
 56.65,172.15,-1
 65.44,122.90,+1
 32.90,160.74,-1
 64.18,130.96,+1
 46.31,134.05,+1
 71.08,143.44,+1
 57.87, 99.73,+1
 47.62,177.82,-1
 57.57,133.02,+1
 34.23,114.13,+1
 47.95,170.41,-1
 42.82,163.65,-1
 28.89,158.67,-1
 37.46,117.84,+1
 71.65,131.85,+1
 51.19,138.96,+1
 52.36,120.18,+1
 64.97,120.31,+1
 48.30,140.54,-1
 48.79,107.35,+1
 38.40,107.25,+1
 38.40,147.49,+1
 38.35,148.41,-1
 44.21,146.93,-1
 32.47,128.51,+1
 48.41,162.29,+1
 30.02,165.27,-1
 51.02,115.11,+1
 56.52,117.65,+1
 30.16,151.28,-1
 45.28,166.39,-1
 33.93,143.01,-1
 62.43,150.62,-1
 40.33,147.72,-1
 64.33,121.25,+1
 48.70,160.10,+1
 42.28,156.99,-1
 55.41,146.06,+1
 38.16,165.39,-1
 72.72,131.72,+1
 25.14,120.77,+1
 38.00,166.66,-1
 41.81,141.32,+1
 36.12,150.39,-1
 30.96,139.45,-1
 22.40,156.01,-1
 67.98,114.07,+1
 58.68,128.66,+1
 31.24,135.18,-1
 51.35,117.60,+1
 72.65,151.76,+1
 67.89,145.48,+1
 32.71,153.57,-1
 32.72,166.18,-1
 24.48,133.91,+1
 44.90,160.38,-1
 55.14,150.05,-1
 22.36,145.92,-1
 34.07,153.40,-1
 25.28,158.91,-1
 49.48,151.80,+1
 54.20,153.51,+1
 57.30,163.63,-1
 53.06,136.37,+1
 42.92,149.26,-1
 42.03,125.47,+1
 50.79,139.79,-1
 62.94,126.06,+1
 37.20,144.92,-1
 57.55,153.59,+1
 32.12,160.19,-1
 47.30,165.90,-1
 36.11,145.93,-1
 30.29,143.91,-1
 66.08,145.99,+1
 31.19,142.23,-1
 36.11,124.42,-1
 64.77,158.93,-1
 49.15,146.23,+1
 34.54,157.30,-1
 61.62,151.92,-1
 24.10,151.69,-1
 48.68,156.73,-1
 42.49,165.83,-1
 22.03,168.78,-1
 58.00,163.32,-1
 41.34,160.98,-1
 43.17,159.55,-1
 51.95,129.64,+1
 29.92,170.06,-1
 33.95,131.89,+1
 46.46,113.23,+1
 49.66,137.15,+1
 24.02,140.62,-1
 36.80,168.93,-1
 64.49,154.75,-1
 39.34,159.67,-1
 44.25,160.60,-1
 34.22,132.47,+1
 56.73,164.23,-1
 17.59,146.45,-1
 28.05,166.52,-1
 31.19,158.09,-1
 43.78,165.46,-1
 38.56,159.91,-1
 35.57,139.37,+1
 46.74,159.17,-1
 63.22,129.48,+1
 26.04,165.60,-1
 32.94,103.33,+1
 34.77,163.65,-1
 58.48,127.69,+1
 33.54,160.27,-1
 51.45,154.94,-1
 43.86,124.66,+1
 34.23,134.02,+1
 59.74,124.54,+1
 26.56,124.44,+1
 36.16,153.25,-1
 30.86,128.86,-1
 77.26,135.56,+1
 57.75,124.98,+1
 35.27,175.95,-1
 36.02,139.10,-1
 33.63,133.50,-1
 41.32,156.74,-1
 50.09,164.65,-1
 51.71,148.45,-1
 53.22,122.64,+1
 56.85,134.48,+1
 18.72,137.37,-1
 40.71,140.25,-1
 37.30,136.78,+1
 33.74,144.29,-1
 37.95,157.95,-1
 52.90,152.52,+1
 40.10,149.10,-1
 45.76,127.26,+1
 48.24,175.53,-1
 43.79,171.83,-1
 54.88,149.76,+1
 63.05,144.81,+1
 75.36,151.39,-1
 40.30,162.25,-1
 49.18,145.06,-1
 47.24,131.07,+1
 14.16,153.29,-1
 27.31,140.94,-1
 31.75,161.18,-1
 39.87,163.06,-1
 34.39,162.93,-1
 46.02,167.66,-1
 31.77,155.30,-1
 47.91,151.46,-1
 70.08,138.95,+1
 38.62,130.45,+1
 47.70,164.19,-1
 36.82,131.11,+1
 40.12,142.75,+1
 54.00,101.88,+1
 50.78,142.66,-1
 37.62,154.47,-1
 41.55,149.74,-1
 50.39,134.26,+1
 23.82,159.87,-1
 35.82,145.29,-1
 47.97,133.91,+1
 47.91,114.47,+1
 68.07,141.95,+1
 43.42,148.04,-1
 39.42,143.27,-1
 44.49,145.88,-1
 27.82,149.99,-1
 50.33,113.63,-1
 54.55,130.65,+1
 23.35,150.56,-1
 47.41,161.49,-1
 69.66,147.86,+1
 53.89,170.33,-1
 28.09,138.64,-1
 46.60,155.77,-1
 76.63,138.88,+1
 51.11,159.26,-1
 31.88,157.28,-1
 37.82,148.77,-1
 29.21,135.09,+1
 40.74,159.60,-1
 48.73,166.44,-1
 39.98,157.73,-1
 52.55,124.28,+1
 59.21,113.74,+1
 43.64,155.73,-1
 36.19,126.90,+1
 50.90,123.18,+1
 66.19,135.71,+1
 42.36,145.57,-1
 46.94,157.40,-1
 41.91,104.24,-1
 37.44,130.50,+1
 34.26,151.44,-1
 40.42,102.33,+1
 43.19,162.37,-1
 19.45,150.98,-1
 56.17,147.20,-1
 36.07,141.55,-1
 46.04,118.60,+1
 41.96,150.46,-1
 50.15,135.06,+1
 58.85,127.10,+1
 20.31,147.00,-1
 40.22,179.58,-1
 43.72,133.55,+1
 41.45,138.97,-1
 40.62,151.11,-1
 47.33,122.57,+1
 52.25,154.40,-1
 63.23,127.66,+1
 62.26,120.65,-1
 37.81,150.80,-1
 53.67,157.16,-1
 61.70,134.20,+1
 66.19,130.44,+1
 16.18,136.68,-1
 52.40,134.37,+1
 20.26,155.06,-1
 55.64,145.94,-1
 42.92,148.61,-1
 59.23,162.95,-1
 70.49,146.07,+1
 60.45,125.02,+1
 27.51,150.92,-1
 29.14,138.53,-1
 40.92,139.79,+1
 32.34,150.92,-1
 41.21,162.50,-1
 42.81,157.39,-1
 34.47,158.17,-1
 44.33,120.37,+1
 43.98,123.28,+1
 63.73,167.55,-1
 49.62,117.43,+1
 27.76,159.75,-1
 43.01,155.23,-1
 36.91,153.91,-1
 29.90,146.06,-1
 35.05,149.06,-1
 67.53,112.49,+1
 33.30,163.02,-1
 44.51,169.23,-1
 42.14,158.94,-1
 31.15,156.89,-1
 47.02,112.67,+1
 23.16,143.54,-1
 58.19,166.82,-1
 18.88,150.50,-1
 48.35,155.69,-1
 20.52,153.94,-1
 49.32,116.70,+1
 39.25,109.10,+1
 50.66,145.35,+1
 34.84,132.73,+1
 45.95,166.10,-1
 55.62,119.12,+1
 33.90,161.55,-1
 50.28,161.44,-1
 61.61,130.75,+1
 44.27,173.39,-1
 58.61,131.24,-1
 39.10,168.70,-1
 30.22,155.68,-1
 40.61,135.97,+1
 28.21,165.67,-1
 26.73,151.16,-1
 48.66,127.21,+1
 43.49,136.99,-1
 44.16,125.92,+1
 43.71,135.12,+1
 72.12,125.13,+1
 42.40,170.46,-1
 57.81,146.34,+1
 32.71,146.87,+1
 47.75,142.30,+1
 40.08,158.91,-1
 53.16,160.98,-1
 33.51,146.13,-1
 34.20,146.20,-1
 43.21,171.07,-1
 25.48,131.60,-1
 59.23,176.63,-1
 35.23,172.19,-1
 22.16,133.96,-1
 19.17,151.63,-1
 42.83,161.43,-1
 31.17,145.30,-1
 54.23,139.22,+1
 29.91,153.47,-1
 57.54,121.24,+1
 49.81,153.05,-1
 41.63,160.35,-1
 64.69,127.24,+1
 18.80,157.41,-1
 25.15,150.56,-1
 46.35,120.85,+1
 58.68,119.18,+1
 37.43,147.47,-1
 48.41,163.42,-1
 53.90,126.97,+1
 42.68,161.23,+1
 29.69,116.37,-1
 54.47,158.03,-1
 59.18,142.74,+1
 16.62,153.63,-1
 37.40,163.37,-1
 49.78,158.97,-1
 33.41,151.13,-1
 60.20,161.03,-1
 53.89,151.56,-1
 55.17,124.69,+1
 32.33,144.60,-1
 51.40,130.28,+1
 27.38,164.81,-1
 20.01,142.80,-1
 22.90,168.48,-1
 39.23,177.40,-1
 57.39,131.67,+1
 38.53,140.94,-1
 39.06,141.47,-1
 56.88,153.27,-1
 49.80,144.27,+1
 35.23,146.50,-1
 36.39,158.59,-1
